id,screen_name,created_at,text
1104781460257554432,msdev,Sun Mar 10 16:30:00 +0000 2019,b'RT @Azure: Did you know #Azure has over 25 services that are always free? Learn what you can do with a free account: https://t.co/PNj9cwbO2h'
1104776932145725440,msdev,Sun Mar 10 16:12:01 +0000 2019,b'Gain insight into how developers are taking action with #AI together with three real-world case studies. Get the gu\xe2\x80\xa6 https://t.co/zY0Rum4qHy'
1104761829761396737,msdev,Sun Mar 10 15:12:00 +0000 2019,"b'Discover free, dedicated IoT School modules and start learning about #AzureIoT. Start now: https://t.co/PYHCP4tAMo'"
1104502118667509761,msdev,Sat Mar 09 22:00:00 +0000 2019,b'RT @MSAdvAnalytics: The first look at the #MSBizAppsSummit session catalog is live! Get a peek into what\xe2\x80\x99s in store for this year\xe2\x80\x99s event:\xe2\x80\xa6'
1104494573529772032,msdev,Sat Mar 09 21:30:01 +0000 2019,"b'Got a future coder at home? Bring your 14-21 year old student with you to #MSBuild for free. Spots are limited, reg\xe2\x80\xa6 https://t.co/ddqdmO3cv9'"
1104475718602420224,msdev,Sat Mar 09 20:15:06 +0000 2019,"b'Did you miss the launch of #HoloLens2 at #MWC19?\n\n@JulWhite has the details on it, along with all of our other anno\xe2\x80\xa6 https://t.co/OCSziZIUyG'"
1104462104294232064,msdev,Sat Mar 09 19:21:00 +0000 2019,"b""Ready to start digging into #AzureBoards? We've got a great set of documents to help you learn: https://t.co/IHM5558sKY"""
1104441744912015363,msdev,Sat Mar 09 18:00:06 +0000 2019,b'Need help unblocking your #GameDev? Get matched with an expert at the #GDC19 Techspert Lounge. Learn more:\xe2\x80\xa6 https://t.co/mW9mlOjBYl'
1104410421203746818,RosieBarton,Sat Mar 09 15:55:38 +0000 2019,"b'RT @CBCTheNational: Trudeau blamed poor communications and an ""erosion of trust"" between his former top adviser and Jody Wilson-Raybould fo\xe2\x80\xa6'"
1104381570369142785,RosieBarton,Sat Mar 09 14:00:59 +0000 2019,"b""RT @CBCTheHouse: This week on The House, @CochraneCBC is in the host's chair. Joining him are @nathancullen, @CFNUPresident, @ScarpaleggiaL\xe2\x80\xa6"""
1104342188908048384,RosieBarton,Sat Mar 09 11:24:30 +0000 2019,b'RT @CBCAlerts: Federal Liberal caucus chair Francis Scarpaleggia says the majority of Liberal MPs want Jody Wilson-Raybould and Jane Philpo\xe2\x80\xa6'
1104162856835207168,RosieBarton,Fri Mar 08 23:31:54 +0000 2019,"b'RT @JordanKonek: ""When an #Inuk succeeds, we all succeed"" #RankinInlet Inuk &amp; @rcmpgrcpolice George Henry also a security for @JustinTrudea\xe2\x80\xa6'"
1104110564639473664,RosieBarton,Fri Mar 08 20:04:06 +0000 2019,"b""RT @CBCPolitics: Scheer says he 'didn't hear' question about Clinton 'pizzagate' lie during town hall https://t.co/1XiRweR4HW #hw #cdnpoli\xe2\x80\xa6"""
1104110419709476864,RosieBarton,Fri Mar 08 20:03:32 +0000 2019,b'RT @CBCTheNational: At Issue Roulette | @llpomeroy wonders if the SNC-Lavalin affair will register with the average voter in the upcoming e\xe2\x80\xa6'
